Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,72023,2001,09,26.3,30,Y
IDCJAC0005,72023,2001,10,25.2,22,Y
IDCJAC0005,72023,2001,11,30.5,17,Y
IDCJAC0005,72023,2001,12,35.4,20,Y
IDCJAC0005,72023,2002,01,37.3,11,Y
IDCJAC0005,72023,2002,02,35.4,02,Y
IDCJAC0005,72023,2002,03,36.4,18,Y
IDCJAC0005,72023,2002,04,30.4,09,Y
IDCJAC0005,72023,2002,05,25.7,07,Y
IDCJAC0005,72023,2002,06,17.3,07,Y
IDCJAC0005,72023,2002,07,17.4,13,Y
IDCJAC0005,72023,2002,08,22.1,11,Y
IDCJAC0005,72023,2002,09,26.4,15,Y
IDCJAC0005,72023,2002,10,32.0,30,Y
IDCJAC0005,72023,2002,11,37.0,24,Y
IDCJAC0005,72023,2002,12,40.1,17,Y
IDCJAC0005,72023,2003,01,41.6,26,Y
IDCJAC0005,72023,2003,02,38.0,06,Y
IDCJAC0005,72023,2003,03,33.0,18,Y
IDCJAC0005,72023,2003,04,28.0,01,Y
IDCJAC0005,72023,2003,05,24.2,07,Y
IDCJAC0005,72023,2003,06,19.4,12,Y
IDCJAC0005,72023,2003,07,17.6,22,Y
IDCJAC0005,72023,2003,08,19.0,23,Y
IDCJAC0005,72023,2003,09,23.4,22,Y
IDCJAC0005,72023,2003,10,25.7,18,Y
IDCJAC0005,72023,2003,11,35.8,15,Y
IDCJAC0005,72023,2003,12,37.0,30,Y
IDCJAC0005,72023,2004,01,37.8,02,Y
IDCJAC0005,72023,2004,02,40.8,15,Y
IDCJAC0005,72023,2004,03,34.8,05,Y
IDCJAC0005,72023,2004,04,32.5,15,Y
IDCJAC0005,72023,2004,05,20.0,12,Y
IDCJAC0005,72023,2004,06,16.7,10,Y
IDCJAC0005,72023,2004,07,16.9,10,Y
IDCJAC0005,72023,2004,08,22.2,26,Y
IDCJAC0005,72023,2004,09,22.2,22,Y
IDCJAC0005,72023,2004,10,30.2,12,Y
IDCJAC0005,72023,2004,11,35.8,28,Y
IDCJAC0005,72023,2004,12,34.2,23,Y
IDCJAC0005,72023,2005,01,35.9,14,Y
IDCJAC0005,72023,2005,02,37.9,01,Y
IDCJAC0005,72023,2005,03,37.2,01,Y
IDCJAC0005,72023,2005,04,31.2,10,Y
IDCJAC0005,72023,2005,05,25.4,06,Y
IDCJAC0005,72023,2005,06,20.0,10,Y
IDCJAC0005,72023,2005,07,17.4,31,Y
IDCJAC0005,72023,2005,08,19.7,29,Y
IDCJAC0005,72023,2005,09,24.2,23,Y
IDCJAC0005,72023,2005,10,26.7,31,Y
IDCJAC0005,72023,2005,11,30.8,09,Y
IDCJAC0005,72023,2005,12,41.8,31,Y
IDCJAC0005,72023,2006,01,41.4,01,Y
IDCJAC0005,72023,2006,02,39.2,01,Y
IDCJAC0005,72023,2006,03,38.3,12,Y
IDCJAC0005,72023,2006,04,26.9,11,Y
IDCJAC0005,72023,2006,05,21.0,15,Y
IDCJAC0005,72023,2006,06,17.2,02,Y
IDCJAC0005,72023,2006,07,16.4,18,Y
IDCJAC0005,72023,2006,08,22.3,31,Y
IDCJAC0005,72023,2006,09,28.4,19,Y
IDCJAC0005,72023,2006,10,35.2,13,Y
IDCJAC0005,72023,2006,11,38.0,21,Y
IDCJAC0005,72023,2006,12,40.4,10,Y
IDCJAC0005,72023,2007,01,42.3,11,Y
IDCJAC0005,72023,2007,02,40.0,03,Y
IDCJAC0005,72023,2007,03,37.7,03,Y
IDCJAC0005,72023,2007,04,28.7,11,Y
IDCJAC0005,72023,2007,05,24.6,03,Y
IDCJAC0005,72023,2007,06,18.2,16,Y
IDCJAC0005,72023,2007,07,15.9,25,Y
IDCJAC0005,72023,2007,08,23.7,28,Y
IDCJAC0005,72023,2007,09,22.1,19,Y
IDCJAC0005,72023,2007,10,34.8,21,Y
IDCJAC0005,72023,2007,11,38.9,20,Y
IDCJAC0005,72023,2007,12,38.6,30,Y
IDCJAC0005,72023,2008,01,39.6,02,Y
IDCJAC0005,72023,2008,02,32.3,16,Y
IDCJAC0005,72023,2008,03,38.2,14,Y
IDCJAC0005,72023,2008,04,27.5,11,Y
IDCJAC0005,72023,2008,05,21.2,10,Y
IDCJAC0005,72023,2008,06,19.3,05,Y
IDCJAC0005,72023,2008,07,16.7,06,Y
IDCJAC0005,72023,2008,08,18.4,29,Y
IDCJAC0005,72023,2008,09,28.8,27,Y
IDCJAC0005,72023,2008,10,31.8,19,Y
IDCJAC0005,72023,2008,11,33.7,13,Y
IDCJAC0005,72023,2008,12,34.2,26,Y
IDCJAC0005,72023,2009,01,43.2,30,Y
IDCJAC0005,72023,2009,02,44.9,07,Y
IDCJAC0005,72023,2009,03,33.2,20,Y
IDCJAC0005,72023,2009,04,31.4,02,Y
IDCJAC0005,72023,2009,05,23.1,23,Y
IDCJAC0005,72023,2009,06,17.1,20,Y
IDCJAC0005,72023,2009,07,18.3,21,Y
IDCJAC0005,72023,2009,08,18.8,23,Y
IDCJAC0005,72023,2009,09,24.5,12,Y
IDCJAC0005,72023,2009,10,30.5,31,Y
IDCJAC0005,72023,2009,11,39.4,19,Y
IDCJAC0005,72023,2009,12,38.9,17,Y
IDCJAC0005,72023,2010,01,41.9,12,Y
IDCJAC0005,72023,2010,02,37.3,01,Y
IDCJAC0005,72023,2010,03,31.8,20,Y
IDCJAC0005,72023,2010,04,27.8,23,Y
IDCJAC0005,72023,2010,05,24.8,04,Y
IDCJAC0005,72023,2010,06,18.7,04,Y
IDCJAC0005,72023,2010,07,16.5,10,Y
IDCJAC0005,72023,2010,08,16.4,10,Y
IDCJAC0005,72023,2010,09,21.2,26,Y
IDCJAC0005,72023,2010,10,26.3,05,Y
IDCJAC0005,72023,2010,11,31.3,12,Y
IDCJAC0005,72023,2010,12,38.2,31,Y
IDCJAC0005,72023,2011,01,37.2,31,Y
IDCJAC0005,72023,2011,02,39.4,01,Y
